Review_ID,Product_ID,Product_Name,Category,Customer_ID,Review_Date,Rating,Review_Title,Review_Text,Verified_Purchase,Helpful_Votes
REV16661,PROD1025,Organic Green Tea,Grocery,CUS2744,2025-08-15,4,Highly recommend,"Perfect gift, my family loved it, packaging was excellent too.",No,17.0
REV12334,PROD1026,Almond Butter Jar,Grocery,CUS5133,2025-02-02,4,Love it,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,1.0
REV14843,PROD1012,Electric Kettle,Home & Kitchen,CUS3405,2026-01-17,5,Best buy,Fast shipping and the product works exactly as advertised.,Yes,10.0
REV16716,PROD1018,Gym Duffel Bag,Sportswear,CUS2652,2026-05-24,5,Great purchase,"Amazing quality for the price, will definitely buy again.",Yes,0.0
REV16558,PROD1005,Noise Cancelling Earbuds,Electronics,CUS1999,2025-07-25,5,Amazing quality,"Very comfortable and easy to use, exactly as described.",No,6.0
REV10906,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS3482,2025-11-15,5,Best buy,"Very comfortable and easy to use, exactly as described.",Yes,16.0
REV14706,PROD1011,Non-Stick Frying Pan,Home & Kitchen,CUS1403,2025-04-24,5,Amazing quality,"Absolutely love this product, works perfectly and looks great.",Yes,18.0
REV13926,PROD1003,Portable Bluetooth Speaker,Electronics,CUS5923,2026-01-22,3,Best buy,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,0.0
REV10214,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS3730,2025-11-25,3,Very disappointed,Terrible customer service and the product does not match description.,Yes,1.0
REV10564,PROD1015,Air Fryer,Home & Kitchen,CUS4092,2026-01-20,5,Very satisfied,"Absolutely love this product, works perfectly and looks great.",No,6.0
REV15889,PROD1003,Portable Bluetooth Speaker,Electronics,CUS2388,2025-06-16,4,Great purchase,"Great value for money, exceeded my expectations completely.",Yes,8.0
REV16943,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS3062,2025-11-04,1,Broke quickly,Delivery was extremely delayed and packaging was damaged badly.,Yes,5.0
REV10713,PROD1015,Air Fryer,Home & Kitchen,CUS3152,2025-12-23,4,Best buy,"Five stars, everything about this product is fantastic.",Yes,2.0
REV15165,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS5598,2025-06-25,2,Poor quality,Battery life is terrible and customer support was unhelpful.,Yes,1.0
REV13972,PROD1030,Board Game Family Pack,Toys & Games,CUS1829,2025-10-30,5,Excellent product,"Superb performance, this is one of the best purchases I made.",Yes,3.0
REV14674,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS2166,2025-06-13,5,Great purchase,The quality is outstanding and it arrived earlier than expected.,Yes,4.0
REV15481,PROD1008,Leather Wallet,Accessories,CUS1494,2025-01-08,2,Not recommended,Terrible customer service and the product does not match description.,Yes,0.0
REV10163,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS3967,2026-04-16,5,Highly recommend,"Works flawlessly, setup was simple, and battery lasts long.",Yes,6.0
REV11797,PROD1026,Almond Butter Jar,Grocery,CUS5783,2025-01-28,3,Broke quickly,"Overpriced for such low quality, very unhappy with purchase.",Yes,3.0
REV15550,PROD1008,Leather Wallet,Accessories,CUS2118,2025-12-08,2,Bad experience,"Overpriced for such low quality, very unhappy with purchase.",Yes,2.0
REV10222,PROD1009,Sunglasses Classic,Accessories,CUS5499,2025-05-15,5,Great purchase,The quality is outstanding and it arrived earlier than expected.,Yes,2.0
REV15637,PROD1002,Smart Fitness Watch,Electronics,CUS4806,2025-06-27,5,It's okay,"Not bad, not great, meets basic expectations only.",No,4.0
REV15177,PROD1005,Noise Cancelling Earbuds,Electronics,CUS2830,2025-02-25,5,Average product,"The product is okay, does the job but nothing special.",No,4.0
REV15638,PROD1009,Sunglasses Classic,Accessories,CUS4493,2026-02-23,5,Excellent product,The sound quality is amazing and battery life is excellent.,Yes,4.0
REV12747,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS2770,2026-04-25,3,Love it,"Five stars, everything about this product is fantastic.",Yes,0.0
REV16480,PROD1008,Leather Wallet,Accessories,CUS5809,2025-05-14,4,Very satisfied,"Excellent build quality, fast delivery, highly recommend to everyone.",No,6.0
REV15299,PROD1019,Men's Cotton T-Shirt,Clothing,CUS5992,2025-10-12,4,Very satisfied,Customer service was helpful and the product exceeded expectations.,No,1.0
REV14746,PROD1004,4K Ultra HD Smart TV,Electronics,CUS2348,2025-02-24,5,Amazing quality,"Great value for money, exceeded my expectations completely.",Yes,3.0
REV14601,PROD1002,Smart Fitness Watch,Electronics,CUS4796,2025-03-28,5,Amazing quality,"Great value for money, exceeded my expectations completely.",No,7.0
REV11351,PROD1003,Portable Bluetooth Speaker,Electronics,CUS3181,2026-03-17,3,Broke quickly,The product arrived defective and the return process was painful.,No,2.0
REV11420,PROD1025,Organic Green Tea,Grocery,CUS3073,2025-01-13,4,Love it,Fast shipping and the product works exactly as advertised.,Yes,1.0
REV11060,PROD1015,Air Fryer,Home & Kitchen,CUS2268,2025-02-10,1,Not recommended,Battery life is terrible and customer support was unhelpful.,Yes,3.0
REV15724,PROD1016,Running Shoes,Sportswear,CUS1079,2025-08-11,5,Great purchase,"Great value for money, exceeded my expectations completely.",No,2.0
REV16850,PROD1005,Noise Cancelling Earbuds,Electronics,CUS3542,2026-02-07,1,Decent for the price,"Reasonable purchase, could use some improvements in quality.",Yes,4.0
REV12523,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS2442,2025-07-13,5,Love it,Customer service was helpful and the product exceeded expectations.,Yes,1.0
REV12517,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS5778,2025-04-19,2,Broke quickly,The fabric quality is cheap and it started tearing quickly.,Yes,11.0
REV14356,PROD1020,Women's Denim Jacket,Clothing,CUS3287,2025-03-24,5,Very satisfied,"Very comfortable and easy to use, exactly as described.",Yes,29.0
REV10886,PROD1018,Gym Duffel Bag,Sportswear,CUS1499,2026-02-01,3,Bad experience,"Product feels flimsy and cheaply made, broke almost immediately.",Yes,3.0
REV11916,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS1730,2025-01-22,1,Poor quality,"Product feels flimsy and cheaply made, broke almost immediately.",No,5.0
REV16919,PROD1021,Kids Winter Jacket,Clothing,CUS5594,2025-01-17,5,Highly recommend,"Amazing quality for the price, will definitely buy again.",No,0.0
REV16114,PROD1019,Men's Cotton T-Shirt,Clothing,CUS4134,2026-02-08,2,Poor quality,"Overpriced for such low quality, very unhappy with purchase.",Yes,0.0
REV14244,PROD1017,Yoga Mat,Sportswear,CUS2017,2026-07-24,5,It's okay,"Reasonable purchase, could use some improvements in quality.",Yes,8.0
REV14544,PROD1029,Baby Stroller,Baby Products,CUS1766,2025-01-24,3,Highly recommend,"Really happy with this purchase, quality feels premium.",No,19.0
REV15678,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS4319,2025-09-23,3,Best buy,"Five stars, everything about this product is fantastic.",Yes,6.0
REV12960,PROD1019,Men's Cotton T-Shirt,Clothing,CUS5124,2026-07-16,4,Love it,"Works flawlessly, setup was simple, and battery lasts long.",Yes,1.0
REV11648,PROD1008,Leather Wallet,Accessories,CUS1680,2026-07-26,3,Very disappointed,"Overpriced for such low quality, very unhappy with purchase.",Yes,2.0
REV10740,PROD1016,Running Shoes,Sportswear,CUS1638,2025-05-16,5,Average product,"It works fine, but I expected slightly better build quality.",Yes,13.0
REV10787,PROD1002,Smart Fitness Watch,Electronics,CUS4284,2025-03-12,3,Decent for the price,"Product matches description, performance is average at best.",No,8.0
REV12588,PROD1025,Organic Green Tea,Grocery,CUS3532,2025-07-12,4,Highly recommend,"Beautiful design, sturdy material, and very durable overall.",Yes,9.0
REV15553,PROD1002,Smart Fitness Watch,Electronics,CUS4698,2025-06-25,4,Excellent product,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,3.0
REV13175,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS4796,2025-09-06,2,Very disappointed,"Overpriced for such low quality, very unhappy with purchase.",No,1.0
REV15261,PROD1019,Men's Cotton T-Shirt,Clothing,CUS2258,2025-01-18,5,Excellent product,"Amazing quality for the price, will definitely buy again.",No,73.0
REV11708,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS2341,2026-03-11,5,Love it,"Works flawlessly, setup was simple, and battery lasts long.",No,0.0
REV13022,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS5897,2026-01-01,1,Waste of money,Extremely disappointed with the build quality and finishing.,Yes,6.0
REV15798,PROD1009,Sunglasses Classic,Accessories,CUS5058,2025-03-21,1,Waste of money,"Very disappointed, the product stopped working after two days.",Yes,1.0
REV13619,PROD1025,Organic Green Tea,Grocery,CUS4376,2025-02-22,2,Average product,"Not bad, not great, meets basic expectations only.",Yes,5.0
REV16809,PROD1030,Board Game Family Pack,Toys & Games,CUS4865,2025-05-09,1,Broke quickly,"Late delivery, wrong item received, and refund process was slow.",Yes,4.0
REV16561,PROD1007,Laptop Backpack,Accessories,CUS1611,2026-03-12,3,Does the job,"The product is okay, does the job but nothing special.",Yes,11.0
REV15921,PROD1011,Non-Stick Frying Pan,Home & Kitchen,CUS3786,2025-04-13,5,Fair quality,"Reasonable purchase, could use some improvements in quality.",Yes,3.0
REV14036,PROD1002,Smart Fitness Watch,Electronics,CUS5814,2025-05-01,4,Excellent product,"Excellent build quality, fast delivery, highly recommend to everyone.",No,26.0
REV16987,PROD1006,USB-C Fast Charger,Electronics,CUS2763,2025-10-15,1,Fair quality,"Not bad, not great, meets basic expectations only.",Yes,2.0
REV10276,PROD1004,4K Ultra HD Smart TV,Electronics,CUS4725,2026-01-13,1,Fair quality,"The product works as expected, delivery took a bit long.",No,21.0
REV11261,PROD1009,Sunglasses Classic,Accessories,CUS1648,2026-03-09,5,Highly recommend,"Perfect gift, my family loved it, packaging was excellent too.",Yes,8.0
REV12977,PROD1005,Noise Cancelling Earbuds,Electronics,CUS1279,2026-03-18,5,Very satisfied,The sound quality is amazing and battery life is excellent.,No,5.0
REV13557,PROD1007,Laptop Backpack,Accessories,CUS1730,2025-11-11,4,Amazing quality,The quality is outstanding and it arrived earlier than expected.,Yes,0.0
REV13978,PROD1023,Herbal Shampoo,Beauty & Personal Care,CUS5600,2025-10-04,3,Excellent product,The sound quality is amazing and battery life is excellent.,No,11.0
REV16283,PROD1005,Noise Cancelling Earbuds,Electronics,CUS2652,2025-07-26,3,Love it,"Beautiful design, sturdy material, and very durable overall.",Yes,23.0
REV11842,PROD1015,Air Fryer,Home & Kitchen,CUS4345,2025-09-18,4,Amazing quality,"Five stars, everything about this product is fantastic.",Yes,6.0
REV10267,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS4611,2025-02-04,4,Great purchase,Customer service was helpful and the product exceeded expectations.,Yes,0.0
REV16924,PROD1012,Electric Kettle,Home & Kitchen,CUS2959,2026-04-26,4,Very satisfied,"Really happy with this purchase, quality feels premium.",Yes,1.0
REV10707,PROD1009,Sunglasses Classic,Accessories,CUS2841,2026-07-05,4,Highly recommend,"Very comfortable and easy to use, exactly as described.",Yes,0.0
REV11258,PROD1020,Women's Denim Jacket,Clothing,CUS2894,2025-01-08,5,Great purchase,"Beautiful design, sturdy material, and very durable overall.",Yes,6.0
REV11831,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS5511,2025-06-30,3,Does the job,"The product is okay, does the job but nothing special.",Yes,9.0
REV10949,PROD1017,Yoga Mat,Sportswear,CUS1981,2026-01-26,4,Great purchase,"Beautiful design, sturdy material, and very durable overall.",Yes,8.0
REV12519,PROD1007,Laptop Backpack,Accessories,CUS4622,2025-08-14,5,Great purchase,"Superb performance, this is one of the best purchases I made.",No,2.0
REV14283,PROD1017,Yoga Mat,Sportswear,CUS1107,2025-09-08,4,Love it,"Works flawlessly, setup was simple, and battery lasts long.",No,2.0
REV13409,PROD1024,Electric Toothbrush,Beauty & Personal Care,CUS3466,2025-12-03,2,Waste of money,The fabric quality is cheap and it started tearing quickly.,Yes,15.0
REV11742,PROD1004,4K Ultra HD Smart TV,Electronics,CUS2821,2025-05-12,3,Very satisfied,"Five stars, everything about this product is fantastic.",No,3.0
REV14671,PROD1030,Board Game Family Pack,Toys & Games,CUS4516,2025-01-27,3,Does the job,"The product works as expected, delivery took a bit long.",Yes,0.0
REV10741,PROD1017,Yoga Mat,Sportswear,CUS4645,2025-01-10,3,Decent for the price,"The product is okay, does the job but nothing special.",Yes,30.0
REV11855,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS5027,2026-04-28,3,Love it,"Works flawlessly, setup was simple, and battery lasts long.",Yes,10.0
REV10333,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS3237,2025-08-09,5,Amazing quality,"Really happy with this purchase, quality feels premium.",Yes,10.0
REV15613,PROD1017,Yoga Mat,Sportswear,CUS1697,2025-11-22,5,Very satisfied,"Absolutely love this product, works perfectly and looks great.",Yes,4.0
REV10501,PROD1028,Mechanical Keyboard,Electronics,CUS1218,2026-05-01,3,Very satisfied,"Very comfortable and easy to use, exactly as described.",No,2.0
REV10651,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS3198,2026-05-20,5,Excellent product,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,3.0
REV15748,PROD1024,Electric Toothbrush,Beauty & Personal Care,CUS4140,2025-01-20,4,Great purchase,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,8.0
REV14883,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS4668,2025-07-18,5,Amazing quality,Customer service was helpful and the product exceeded expectations.,No,1.0
REV16313,PROD1029,Baby Stroller,Baby Products,CUS4484,2025-10-01,3,Very satisfied,The quality is outstanding and it arrived earlier than expected.,No,26.0
REV15725,PROD1002,Smart Fitness Watch,Electronics,CUS5281,2025-09-22,5,Best buy,The quality is outstanding and it arrived earlier than expected.,Yes,8.0
REV15374,PROD1002,Smart Fitness Watch,Electronics,CUS5117,2026-05-07,5,It's okay,"The product is okay, does the job but nothing special.",Yes,9.0
REV16339,PROD1011,Non-Stick Frying Pan,Home & Kitchen,CUS2659,2026-06-22,5,Best buy,"Absolutely love this product, works perfectly and looks great.",Yes,0.0
REV12484,PROD1004,4K Ultra HD Smart TV,Electronics,CUS1793,2025-01-14,3,Amazing quality,"Perfect gift, my family loved it, packaging was excellent too.",Yes,0.0
REV11556,PROD1028,Mechanical Keyboard,Electronics,CUS4537,2025-10-07,5,Great purchase,"Superb performance, this is one of the best purchases I made.",Yes,3.0
REV10597,PROD1018,Gym Duffel Bag,Sportswear,CUS3943,2025-11-12,3,Decent for the price,"The product works as expected, delivery took a bit long.",Yes,7.0
REV13642,PROD1020,Women's Denim Jacket,Clothing,CUS3458,2026-02-08,4,Highly recommend,The quality is outstanding and it arrived earlier than expected.,No,17.0
REV10948,PROD1019,Men's Cotton T-Shirt,Clothing,CUS5753,2025-03-14,2,Average product,"Product matches description, performance is average at best.",Yes,0.0
REV12906,PROD1011,Non-Stick Frying Pan,Home & Kitchen,CUS3864,2025-09-08,4,Highly recommend,"Very comfortable and easy to use, exactly as described.",Yes,0.0
REV15277,PROD1003,Portable Bluetooth Speaker,Electronics,CUS2448,2025-06-05,1,Poor quality,"Poor quality material, broke within a week of normal use.",Yes,5.0
REV12806,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS5794,2025-03-24,1,Poor quality,"Not worth the money, quality is much worse than expected.",No,19.0
REV15612,PROD1024,Electric Toothbrush,Beauty & Personal Care,CUS3001,2026-04-02,5,Excellent product,"Absolutely love this product, works perfectly and looks great.",Yes,9.0
REV13241,PROD1011,Non-Stick Frying Pan,Home & Kitchen,CUS3975,2025-04-19,1,Broke quickly,Terrible customer service and the product does not match description.,No,1.0
REV14197,PROD1017,Yoga Mat,Sportswear,CUS5847,2025-12-04,4,Love it,The quality is outstanding and it arrived earlier than expected.,Yes,7.0
REV12102,PROD1028,Mechanical Keyboard,Electronics,CUS4333,2025-10-08,4,Very satisfied,"Absolutely love this product, works perfectly and looks great.",Yes,2.0
REV11410,PROD1015,Air Fryer,Home & Kitchen,CUS5835,2025-07-26,4,Love it,The quality is outstanding and it arrived earlier than expected.,Yes,0.0
REV12462,PROD1017,Yoga Mat,Sportswear,CUS4185,2025-05-15,2,Very disappointed,"Poor quality material, broke within a week of normal use.",No,3.0
REV11270,PROD1001,Wireless Bluetooth Headphones,Electronics,CUS5043,2025-08-11,4,Love it,"Superb performance, this is one of the best purchases I made.",Yes,4.0
REV10963,PROD1019,Men's Cotton T-Shirt,Clothing,CUS3507,2025-06-21,5,Best buy,"Absolutely love this product, works perfectly and looks great.",Yes,0.0
REV16758,PROD1028,Mechanical Keyboard,Electronics,CUS4697,2026-01-26,5,Best buy,The sound quality is amazing and battery life is excellent.,No,0.0
REV11956,PROD1016,Running Shoes,Sportswear,CUS4274,2026-05-13,4,Amazing quality,"Beautiful design, sturdy material, and very durable overall.",Yes,10.0
REV10352,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS2209,2025-08-30,5,Highly recommend,"Absolutely love this product, works perfectly and looks great.",No,13.0
REV10916,PROD1009,Sunglasses Classic,Accessories,CUS4017,2026-04-21,4,Love it,"Beautiful design, sturdy material, and very durable overall.",Yes,0.0
REV11243,PROD1017,Yoga Mat,Sportswear,CUS1681,2025-04-17,5,Amazing quality,"Very comfortable and easy to use, exactly as described.",Yes,18.0
REV12745,PROD1027,Bluetooth Gaming Mouse,Electronics,CUS2985,2025-07-30,5,Excellent product,"Works flawlessly, setup was simple, and battery lasts long.",Yes,6.0
REV13629,PROD1007,Laptop Backpack,Accessories,CUS2233,2025-08-07,2,Very disappointed,"Not worth the money, quality is much worse than expected.",Yes,1.0
REV12548,PROD1009,Sunglasses Classic,Accessories,CUS5089,2026-01-13,3,Great purchase,The quality is outstanding and it arrived earlier than expected.,Yes,2.0
REV10763,PROD1021,Kids Winter Jacket,Clothing,CUS5104,2026-03-02,4,Very satisfied,"Amazing quality for the price, will definitely buy again.",Yes,5.0
REV16717,PROD1019,Men's Cotton T-Shirt,Clothing,CUS1586,2025-12-16,5,Highly recommend,The quality is outstanding and it arrived earlier than expected.,Yes,0.0
REV15278,PROD1026,Almond Butter Jar,Grocery,CUS1624,2026-01-17,2,Not recommended,The fabric quality is cheap and it started tearing quickly.,No,0.0
REV11773,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS5088,2025-10-13,3,Very satisfied,"Really happy with this purchase, quality feels premium.",Yes,20.0
REV13760,PROD1015,Air Fryer,Home & Kitchen,CUS5942,2026-06-09,4,Love it,"Really happy with this purchase, quality feels premium.",No,4.0
REV11796,PROD1019,Men's Cotton T-Shirt,Clothing,CUS1369,2025-05-12,3,Decent for the price,"Fair quality overall, similar to other products in this range.",No,11.0
REV10009,PROD1007,Laptop Backpack,Accessories,CUS3757,2025-04-15,1,Does the job,"Average quality, works fine but packaging could be better.",No,13.0
REV10688,PROD1020,Women's Denim Jacket,Clothing,CUS2616,2026-04-06,5,Love it,Customer service was helpful and the product exceeded expectations.,Yes,8.0
REV11635,PROD1021,Kids Winter Jacket,Clothing,CUS3937,2025-10-04,5,Decent for the price,"Not bad, not great, meets basic expectations only.",Yes,7.0
REV12044,PROD1004,4K Ultra HD Smart TV,Electronics,CUS5582,2025-03-29,4,Amazing quality,"Great value for money, exceeded my expectations completely.",Yes,2.0
REV15689,PROD1019,Men's Cotton T-Shirt,Clothing,CUS5951,2025-02-20,5,Excellent product,"Absolutely love this product, works perfectly and looks great.",No,9.0
REV14553,PROD1025,Organic Green Tea,Grocery,CUS2143,2025-02-24,4,Amazing quality,"Absolutely love this product, works perfectly and looks great.",Yes,1.0
REV15837,PROD1007,Laptop Backpack,Accessories,CUS2328,2025-10-29,5,Highly recommend,"Five stars, everything about this product is fantastic.",Yes,2.0
REV12712,PROD1012,Electric Kettle,Home & Kitchen,CUS4047,2025-05-29,2,It's okay,"Fair quality overall, similar to other products in this range.",Yes,17.0
REV14467,PROD1026,Almond Butter Jar,Grocery,CUS1713,2025-02-06,5,Great purchase,"Really happy with this purchase, quality feels premium.",Yes,2.0
REV12191,PROD1028,Mechanical Keyboard,Electronics,CUS5574,2025-01-31,1,Poor quality,The product arrived defective and the return process was painful.,Yes,18.0
REV12689,PROD1006,USB-C Fast Charger,Electronics,CUS3447,2025-01-11,4,Highly recommend,The quality is outstanding and it arrived earlier than expected.,Yes,8.0
REV12131,PROD1019,Men's Cotton T-Shirt,Clothing,CUS5433,2025-05-30,4,Love it,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,4.0
REV11035,PROD1005,Noise Cancelling Earbuds,Electronics,CUS4381,2026-06-09,5,Best buy,"Very comfortable and easy to use, exactly as described.",Yes,6.0
REV14951,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS2467,2025-01-09,5,Very satisfied,The quality is outstanding and it arrived earlier than expected.,Yes,7.0
REV13341,PROD1029,Baby Stroller,Baby Products,CUS1606,2025-11-29,3,Average product,"It is okay for daily use, though design feels a bit plain.",Yes,3.0
REV10864,PROD1004,4K Ultra HD Smart TV,Electronics,CUS4927,2025-08-19,5,Love it,"Excellent build quality, fast delivery, highly recommend to everyone.",No,1.0
REV13709,PROD1008,Leather Wallet,Accessories,CUS2715,2025-12-01,5,Highly recommend,"Works flawlessly, setup was simple, and battery lasts long.",Yes,4.0
REV11873,PROD1017,Yoga Mat,Sportswear,CUS4564,2026-04-10,4,Very satisfied,"Five stars, everything about this product is fantastic.",Yes,4.0
REV14449,PROD1026,Almond Butter Jar,Grocery,CUS4031,2025-04-15,4,Best buy,"Great value for money, exceeded my expectations completely.",No,0.0
REV16730,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS2131,2025-11-19,4,Love it,The sound quality is amazing and battery life is excellent.,No,11.0
REV12421,PROD1024,Electric Toothbrush,Beauty & Personal Care,CUS5355,2026-07-19,4,Best buy,Customer service was helpful and the product exceeded expectations.,Yes,13.0
REV12931,PROD1009,Sunglasses Classic,Accessories,CUS3247,2025-03-29,2,Fair quality,"Not bad, not great, meets basic expectations only.",Yes,6.0
REV10102,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS5392,2025-12-06,4,It's okay,"The product is okay, does the job but nothing special.",Yes,0.0
REV15511,PROD1004,4K Ultra HD Smart TV,Electronics,CUS4715,2025-09-30,5,Highly recommend,The quality is outstanding and it arrived earlier than expected.,Yes,4.0
REV13360,PROD1006,USB-C Fast Charger,Electronics,CUS5712,2025-12-14,4,Amazing quality,Fast shipping and the product works exactly as advertised.,No,4.0
REV16382,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS3157,2026-02-26,5,Amazing quality,Fast shipping and the product works exactly as advertised.,Yes,17.0
REV12467,PROD1016,Running Shoes,Sportswear,CUS1676,2026-03-16,5,Amazing quality,"Great value for money, exceeded my expectations completely.",Yes,1.0
REV15801,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS2589,2026-04-02,5,Best buy,The quality is outstanding and it arrived earlier than expected.,No,2.0
REV13223,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS5991,2026-04-17,5,Love it,Customer service was helpful and the product exceeded expectations.,Yes,5.0
REV12204,PROD1012,Electric Kettle,Home & Kitchen,CUS5247,2025-01-12,5,Great purchase,"Excellent build quality, fast delivery, highly recommend to everyone.",Yes,9.0
REV12040,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS4172,2025-08-27,5,Love it,The quality is outstanding and it arrived earlier than expected.,Yes,12.0
REV11684,PROD1010,Stainless Steel Water Bottle,Home & Kitchen,CUS2493,2025-06-29,5,Very satisfied,"Five stars, everything about this product is fantastic.",Yes,6.0
REV13275,PROD1025,Organic Green Tea,Grocery,CUS2147,2025-06-01,2,Not recommended,Extremely disappointed with the build quality and finishing.,Yes,4.0
REV11812,PROD1026,Almond Butter Jar,Grocery,CUS2850,2025-04-05,3,Best buy,"Works flawlessly, setup was simple, and battery lasts long.",Yes,15.0
REV11740,PROD1029,Baby Stroller,Baby Products,CUS5895,2026-06-20,4,Great purchase,"Really happy with this purchase, quality feels premium.",Yes,24.0
REV10975,PROD1021,Kids Winter Jacket,Clothing,CUS1076,2025-11-05,2,Broke quickly,"Bad experience overall, would not recommend this to anyone.",Yes,14.0
REV13611,PROD1029,Baby Stroller,Baby Products,CUS4422,2026-04-17,4,Love it,"Works flawlessly, setup was simple, and battery lasts long.",Yes,14.0
REV16649,PROD1015,Air Fryer,Home & Kitchen,CUS5086,2025-07-04,5,Best buy,"Superb performance, this is one of the best purchases I made.",Yes,1.0
REV11900,PROD1023,Herbal Shampoo,Beauty & Personal Care,CUS5594,2026-05-12,3,Love it,Fast shipping and the product works exactly as advertised.,No,2.0
REV15094,PROD1022,Face Moisturizer Cream,Beauty & Personal Care,CUS2508,2025-07-02,5,Great purchase,"Works flawlessly, setup was simple, and battery lasts long.",Yes,6.0
REV14543,PROD1003,Portable Bluetooth Speaker,Electronics,CUS3841,2025-06-16,3,Fair quality,"Not bad, not great, meets basic expectations only.",Yes,20.0
REV16871,PROD1014,Robot Vacuum Cleaner,Home & Kitchen,CUS4226,2025-06-24,2,Broke quickly,Extremely disappointed with the build quality and finishing.,Yes,7.0
REV10014,PROD1002,Smart Fitness Watch,Electronics,CUS2866,2025-10-24,5,Average product,"Average quality, works fine but packaging could be better.",Yes,20.0
REV15974,PROD1013,Ceramic Coffee Mug Set,Home & Kitchen,CUS2687,2025-07-11,5,Excellent product,"Five stars, everything about this product is fantastic.",Yes,3.0
REV15110,PROD1030,Board Game Family Pack,Toys & Games,CUS1551,2026-01-13,3,Waste of money,"Poor quality material, broke within a week of normal use.",Yes,0.0
